Word,SemD
a,7.064759027791802
and,7.064759027791802
as,7.064759027791802
but,7.064759027791802
in,7.064759027791802
of,7.064759027791802
that,7.064759027791802
the,7.064759027791802
to,7.064759027791802
it,7.062191632286556
not,7.060476365999801
with,7.0587581525186645
for,7.057897937411856
be,7.054449658132941
is,7.053585727193677
all,7.050989447068044
at,7.047517221357296
this,7.044905117129371
he,7.042286171939743
have,7.037905963447182
an,7.037027614686276
on,7.037027614686276
or,7.037027614686276
was,7.037027614686276
one,7.028201432058005
his,7.027314514039777
if,7.026426808699636
by,7.018401799069201
they,7.01571242048723
which,7.01301578963963
there,7.00850518208228
like,6.985641817639208
so,6.9782137426306985
are,6.97354301952014
who,6.9726062513017535
from,6.97166860472579
i,6.970730078143525
man,6.970730078143525
more,6.967909201801884
only,6.962243464266207
we,6.954638864880987
when,6.9411900550683745
had,6.940222469119639
were,6.93537044601511
would,6.906754778648554
no,6.904750769961838
than,6.904750769961838
about,6.897704943128636
can,6.888572459565363
very,6.887552571664617
what,6.885509670034817
even,6.884486652042782
has,6.883462586413092
some,6.874198495453294
do,6.856461984594587
him,6.854354502255021
them,6.846943139585379
other,6.843749949006225
been,6.824373670043086
any,6.823286122355687
out,6.820016364674131
their,6.794586580876499
could,6.777646593635117
will,6.759255270663693
men,6.754604099487962
great,6.74993119378857
said,6.748759547491679
into,6.7464121285733745
may,6.744059186311348
up,6.738152494595957
say,6.7357800142423265
things,6.7357800142423265
thing,6.714170529909472
such,6.70196036600254
most,6.687108607866515
much,6.683360945766275
these,6.663132695990803
something,6.641182169740591
really,6.638567789166521
because,6.634633357861686
should,6.6293632534374485
you,6.626717749249025
did,6.62273632394984
its,6.620073206530356
now,6.6052979209482015
people,6.6052979209482015
must,6.5998704992128365
might,6.591673732008658
first,6.590301048196686
two,6.586171654854675
think,6.584791392385716
old,6.577861357721047
never,6.573680166960646
our,6.5652649700353605
quite,6.55250788703459
then,6.54534966033442
time,6.543911845564792
own,6.520621127558696
world,6.519147287940395
almost,6.511745329644728
little,6.502790045915623
see,6.4967749901858625
being,6.490723534502507
my,6.478509642208569
us,6.47543271670409
well,6.464588303689961
always,6.46302945692067
same,6.461468176353717
good,6.45833828334479
know,6.453624998892692
made,6.453624998892692
those,6.447305862541213
rather,6.440946540632921
still,6.439350371100098
many,6.429719478039138
fact,6.42648845745769
way,6.423246963533519
does,6.419994928147142
himself,6.413458957167357
whole,6.400257445308821
upon,6.398594934535208
before,6.395261598115449
me,6.385194398997725
down,6.381816017406098
against,6.359573868672378
sense,6.349138991379798
last,6.345636360828596
nothing,6.33682573114644
make,6.333279628139691
without,6.327936783729195
come,6.326149473155099
after,6.322565239927284
called,6.318968113746434
life,6.315358001522335
every,6.309918278226516
here,6.309918278226516
modern,6.3080984415095305
just,6.298949246855942
found,6.29156913955832
too,6.29156913955832
sort,6.2878585601617845
long,6.282266746896006
also,6.280395838960195
yet,6.278521424165844
far,6.2766434893416445
though,6.2766434893416445
human,6.253828811575473
over,6.240275845170769
new,6.238324625039508
certain,6.230481447578482
ever,6.220590170099739
how,6.218600119691729
anything,6.212606095751519
where,6.208590026096629
right,6.206575926724928
another,6.206575926724927
thought,6.202535517187923
indeed,6.184148890937483
perhaps,6.184148890937483
go,6.182084906716631
least,6.173786103901937
under,6.173786103901937
am,6.171700597410915
true,6.171700597410915
mean,6.1654178542314195
matter,6.154858094016418
merely,6.154858094016418
through,6.152732694704104
between,6.150602768446279
came,6.148468295917646
enough,6.139884552226255
find,6.139884552226255
truth,6.129050210060545
once,6.124683390894205
real,6.113682179832231
take,6.111467339502678
back,6.1092475827643655
shall,6.1070228877422545
point,6.102558594613569
again,6.09807428216624
why,6.09807428216624
mere,6.093569770045136
case,6.091309882077698
english,6.0867747269123065
course,6.063785208687608
whether,6.0473721790462776
god,6.040254711277414
kind,6.040254711277414
away,6.028278520230698
both,6.028278520230698
reason,6.013715156042802
call,6.0063531596017325
moment,5.996452088619021
certainly,5.983936280687191
head,5.973809611869261
your,5.971261839790462
england,5.963579343618447
itself,5.963579343618447
put,5.961005339623273
small,5.953243334287785
her,5.950642552587727
off,5.950642552587727
went,5.950642552587727
mind,5.945420608606575
seemed,5.942799375126701
eyes,5.932245187448011
while,5.932245187448011
face,5.929589143389895
end,5.921578419643816
common,5.908082938168931
seen,5.908082938168931
round,5.902633333401366
let,5.8944028342648505
look,5.8888779583328805
strange,5.886104031450156
idea,5.883322388488279
often,5.883322388488279
less,5.8805329864007
place,5.877735781779639
better,5.869296913133774
else,5.8664680569332965
she,5.863631175598097
words,5.855071922202427
get,5.840641657373398
name,5.823045895483019
tell,5.820082930352362
house,5.814130531825066
believe,5.808142489980444
simply,5.808142489980444
word,5.808142489980444
already,5.802118375377063
black,5.799092654460526
saw,5.796057750765372
wrong,5.793013608384144
among,5.793013608384143
dark,5.793013608384143
done,5.793013608384143
nature,5.793013608384143
each,5.786897381366708
left,5.786897381366708
day,5.783825182329737
part,5.783825182329737
give,5.780743515792329
few,5.768320995793772
looked,5.755742213586912
side,5.755742213586912
everything,5.746203190540153
feel,5.746203190540153
poor,5.7430031878094825
understand,5.733341276897745
suppose,5.726847747587198
themselves,5.726847747587197
simple,5.720311776607412
white,5.720311776607412
best,5.717027701406222
three,5.717027701406222
asked,5.713732805509369
got,5.713732805509369
began,5.71042701737487
thus,5.71042701737487
except,5.707110264748875
knew,5.707110264748875
having,5.703782474656201
therefore,5.703782474656201
told,5.700443573390687
earth,5.697093486505405
full,5.6937321388027
exactly,5.68697535633982
heard,5.68697535633982
history,5.683579767338682
going,5.683579767338681
suddenly,5.683579767338681
whom,5.683579767338681
talk,5.673323267171493
turned,5.673323267171493
work,5.673323267171493
seems,5.66988092298052
question,5.666426688112432
seem,5.666426688112432
light,5.655991810819852
short,5.655991810819852
however,5.652489180268651
love,5.645446897643238
behind,5.634789603169249
speak,5.634789603169249
hand,5.6204008657171505
means,5.616771097666572
above,5.6131281063880705
felt,5.60947179518496
especially,5.598421958998375
stood,5.594711379601839
friend,5.5909869805108565
second,5.583496308781699
wild,5.583496308781699
young,5.583496308781699
high,5.579729825986222
probably,5.575949103146316
saying,5.575949103146316
dead,5.568344503761097
story,5.568344503761097
bad,5.556828061699537
open,5.54907608489522
instance,5.545177444479562
took,5.537334267018537
clear,5.53338948872752
red,5.53338948872752
fancy,5.5254529391317835
soul,5.521460917862246
doubt,5.517452896464707
free,5.517452896464707
voice,5.517452896464707
christian,5.5134287461649825
nor,5.5134287461649825
towards,5.5134287461649825
person,5.5093883366279774
spirit,5.5093883366279774
want,5.509388336627977
country,5.5053315359323625
different,5.5053315359323625
large,5.5053315359323625
looking,5.5053315359323625
strong,5.5012582105447265
alone,5.497168225293202
religion,5.497168225293202
natural,5.488937726156687
since,5.472270673671475
either,5.472270673671474
possible,5.4680601411351315
used,5.4638318050256105
general,5.44673737166631
french,5.438079308923196
moral,5.43372200355424
answer,5.429345628954441
gentleman,5.429345628954441
woman,5.429345628954441
father,5.424950017481403
myself,5.424950017481403
ought,5.424950017481403
practical,5.424950017481403
need,5.420534999272286
entirely,5.420534999272285
figure,5.420534999272285
ask,5.41610040220442
half,5.41610040220442
use,5.4116460518550396
across,5.407171771460119
hardly,5.407171771460119
public,5.407171771460119
state,5.407171771460119
art,5.402677381872279
sometimes,5.402677381872279
street,5.3981627015177525
order,5.393627546352362
set,5.389071729816501
turn,5.389071729816501
generally,5.384495062789089
ordinary,5.384495062789089
particular,5.384495062789089
comes,5.37989735354046
door,5.37989735354046
society,5.37989735354046
important,5.375278407684164
age,5.3706380281276624
book,5.365976015021851
remember,5.365976015021851
years,5.365976015021851
hair,5.356586274672012
makes,5.356586274672012
cried,5.351858133476067
death,5.351858133476067
whose,5.351858133476067
middle,5.3471075307174685
night,5.3471075307174685
until,5.3471075307174685
war,5.3471075307174685
curious,5.342334251964811
deal,5.342334251964811
mad,5.337538079701318
lost,5.33271879326537
evil,5.332718793265369
says,5.332718793265369
brown,5.3230099791384085
hear,5.3230099791384085
read,5.3230099791384085
sea,5.318119993844216
somewhat,5.318119993844216
heart,5.313205979041787
present,5.313205979041787
fell,5.298317366548036
green,5.298317366548036
king,5.298317366548036
power,5.293304824724492
whatever,5.293304824724492
become,5.2832037287379885
church,5.2832037287379885
room,5.2832037287379885
talking,5.2832037287379885
garden,5.272999558563747
next,5.272999558563747
air,5.267858159063328
answered,5.267858159063328
difference,5.267858159063328
business,5.262690188904886
hands,5.262690188904886
outside,5.262690188904886
philosophy,5.2574953720277815
popular,5.2574953720277815
broken,5.25227342804663
beginning,5.247024072160486
lord,5.247024072160486
silence,5.247024072160486
view,5.247024072160486
gone,5.231108616854587
keep,5.231108616854587
live,5.231108616854587
meant,5.231108616854587
rich,5.231108616854587
along,5.225746673713202
poet,5.225746673713201
making,5.220355825078324
nobody,5.220355825078324
manner,5.214935757608985
eye,5.209486152841421
fall,5.209486152841421
taken,5.209486152841421
heaven,5.204006687076795
living,5.204006687076795
doing,5.198497031265826
plain,5.198497031265826
theory,5.198497031265826
actually,5.187385805840755
beyond,5.187385805840755
children,5.187385805840755
social,5.187385805840755
sun,5.187385805840755
sir,5.181783550292085
big,5.176149732573829
coming,5.176149732573829
perfectly,5.176149732573829
blood,5.170483995038151
home,5.170483995038151
knows,5.170483995038151
obvious,5.164785973923514
form,5.159055299214529
given,5.159055299214529
passed,5.153291594497779
meaning,5.153291594497778
secret,5.153291594497778
hundred,5.147494476813453
known,5.147494476813453
family,5.14166355650266
times,5.14166355650266
fear,5.141663556502659
instant,5.141663556502659
blue,5.135798437050262
cut,5.135798437050262
equally,5.135798437050261
