Word,SemD
on,6.503498787396832
he,6.4928831565108585
for,6.482324074832336
the,6.481697972281782
in,6.481681742994919
a,6.481640506132879
of,6.480704963140308
to,6.480426835020357
and,6.480321354228474
that,6.479740122600712
but,6.4796886209540485
at,6.479337724021731
all,6.4789053212380265
it,6.477753194137677
is,6.477640836372696
as,6.477394976238806
was,6.4770760223632955
no,6.474839015220884
with,6.472323785813968
not,6.471141701516099
by,6.4698661779897195
i,6.468839026147423
be,6.467139892284915
from,6.464526869445634
there,6.464113896427897
his,6.463306048781235
they,6.46252860215017
when,6.462347031341001
so,6.462152173911053
out,6.457959454587941
have,6.4564737779219366
what,6.453764277223494
up,6.452295207193585
this,6.451197467711838
one,6.4461904859845465
or,6.44423891568019
do,6.441403493703674
had,6.439743356122343
then,6.438602841210781
little,6.4355561034327335
down,6.435388232731957
me,6.43505892251046
an,6.431805216272388
were,6.431113551436225
him,6.428949152145717
if,6.427388408129439
said,6.425854277725728
man,6.425128992836009
are,6.423750820881629
we,6.422238877534681
like,6.41759929120923
you,6.415980901194031
my,6.415891296995394
into,6.4134881416219525
would,6.4129679817437815
now,6.410248676748626
more,6.405097389701032
who,6.400685188925149
know,6.394790211069317
go,6.3931305069256235
did,6.388667625797081
see,6.388164846592066
over,6.383500407182137
can,6.383486672043807
come,6.379266820429931
will,6.377750130148751
them,6.3738740811483705
where,6.3667220971076866
back,6.366377753560543
could,6.364405573550317
been,6.363433499809088
before,6.362298598370806
time,6.362156461496451
only,6.356185515079309
than,6.354319128236346
their,6.350408578037943
made,6.344663194342238
till,6.343471125994347
very,6.3429688501007995
good,6.337477366998968
two,6.336225949902845
never,6.33547045632808
came,6.331882665792122
which,6.3257352409969965
about,6.325385607836001
away,6.32088456344564
after,6.313489434902631
any,6.309673565660031
long,6.305243057250608
through,6.302935586265095
some,6.30271209965437
men,6.29972852199124
too,6.297939375876582
old,6.2961950242259
how,6.2952485957652495
own,6.293727029210968
again,6.293552184953466
must,6.291987286240928
make,6.286346570069561
day,6.2851245814165235
off,6.281949218578774
here,6.281805831593093
well,6.279658338070657
head,6.278641339190479
has,6.277307912606308
went,6.275401588618586
under,6.273474194185856
say,6.2678464069612
your,6.266742344357379
her,6.257756150065992
us,6.255174050992489
other,6.248895636145165
first,6.247130503081793
three,6.238754538047959
way,6.236712150016383
last,6.235085923462977
should,6.234586676177722
take,6.233150426012151
look,6.229037213307936
our,6.226011733387634
get,6.2223535661826075
much,6.22067800180545
while,6.21977748381813
things,6.205189998443274
though,6.202858210101188
round,6.199960985914152
think,6.19701222953092
let,6.194341435178583
even,6.193779960950253
eyes,6.193359420559929
great,6.187134041578626
put,6.1857006730478865
just,6.180911831324032
hand,6.180120794610432
she,6.175021426085677
night,6.165506156223076
tell,6.165413353230731
still,6.161121183776952
once,6.160561278966006
might,6.159003320913077
half,6.154305762510025
himself,6.1532319399640985
those,6.15147283260217
these,6.148677532331918
thing,6.148192390765893
knew,6.14739040906626
done,6.145550634836375
life,6.1451582059861
took,6.139897548758088
told,6.139747065914909
give,6.139018378039926
left,6.135092827722017
between,6.1345288811515895
because,6.133440101882428
ever,6.130233056806537
shall,6.130027562624478
nothing,6.128839363523793
may,6.1240778687893815
upon,6.119103385386604
saw,6.116562734244814
every,6.112510503151176
heard,6.111496887497221
looked,6.110308566957349
without,6.11008682663649
behind,6.109166396902316
most,6.107491740878631
right,6.107459447612596
always,6.097974709869013
end,6.0957817596550585
yet,6.09345490443898
another,6.0905164198703385
across,6.0894073663510335
new,6.087103008677402
seen,6.08450187659743
white,6.0793772415832406
face,6.078879354139123
place,6.07794141407206
full,6.077522130999082
such,6.07727661917388
turned,6.075510755975536
hands,6.073094866700646
thought,6.07266103084383
many,6.07114902821036
far,6.0693370303857614
work,6.064063782766513
together,6.061070440480217
why,6.0602874352072345
anything,6.053933921804856
people,6.052575140262011
feet,6.051745494089131
does,6.051286655929997
big,6.04891455899099
better,6.042455223948968
lay,6.038849449362836
among,6.0360727459821915
found,6.035128035541804
am,6.03189253667552
against,6.031276926372128
each,6.02793905116152
world,6.027040163036873
days,6.024042117919166
called,6.021555015380863
black,6.017187647602961
next,6.014588195474448
call,6.013264366856285
going,6.002826694556283
years,6.000492628318851
hear,5.996013745756677
being,5.993920077773618
side,5.993843607684207
oh,5.989129126951306
gone,5.985719474686179
dead,5.983960485613802
talk,5.977564046572154
young,5.9764235599563555
same,5.974598024718463
enough,5.973459934894326
few,5.96842476244155
something,5.9678884252501
find,5.952984964627237
set,5.9486167544987625
keep,5.946747047078131
began,5.943445336425161
gave,5.9419782632219285
ten,5.941447210099551
remember,5.941425521067386
mind,5.937764489924267
got,5.934466586916083
four,5.934128623898412
alone,5.933656422605085
word,5.927674731572681
sat,5.926828118698223
along,5.922910899650429
its,5.92197256920199
above,5.921838863661037
light,5.921551972458186
heart,5.920555321173551
best,5.915114021111504
times,5.914783819429895
least,5.91296883853943
voice,5.912798286925748
rest,5.911927572618103
stood,5.911636156568981
name,5.911004164865232
course,5.91095206841852
five,5.910282125194113
both,5.906116631129266
open,5.900007752788062
used,5.899997389151427
god,5.897103920768844
run,5.89525702736196
red,5.892035859965249
ran,5.887194567871036
home,5.885580658013408
high,5.8850673997125895
asked,5.88277585591669
hold,5.877522113337158
except,5.870011914111559
o,5.863185740258916
hour,5.8629771394936
spoke,5.855752819283408
comes,5.855062381246567
since,5.854876683874245
hundred,5.853715165326357
turn,5.852938010857336
small,5.850248757977401
nor,5.848171972266256
use,5.843368433270772
brought,5.841084519578242
fell,5.840755262684242
quite,5.840286785451128
taken,5.839405535721394
later,5.837484284830345
none,5.836883851028055
cut,5.836348565373714
bad,5.835523568193618
matter,5.831926496561179
foot,5.831222624097806
woman,5.830490039531544
show,5.82499929073459
knows,5.822881025822795
beyond,5.821330169824199
almost,5.819088653404238
poor,5.818962230169889
sure,5.817685224740049
understand,5.813709925558666
eye,5.812225075319002
less,5.807473292115965
true,5.804784457345652
near,5.804269295562032
want,5.802493640209084
held,5.798180657936698
yes,5.7978846849811685
words,5.794742156150564
else,5.791038080904157
given,5.7901860962885685
water,5.789534219549776
sort,5.783042330392485
sent,5.78121194840072
care,5.7799953373384225
earth,5.7789957215657415
leave,5.777733789986198
need,5.776977620170381
year,5.771426994319984
ask,5.7712789159681455
everything,5.77045643087684
speak,5.770071985748974
house,5.76296209148437
help,5.762173869083507
road,5.761575110162061
hard,5.761156900413684
looking,5.760696538053423
ground,5.751935081776423
wait,5.75125146242004
close,5.750073395799481
passed,5.74537593541663
showed,5.744495560083504
six,5.743974433655689
laughed,5.7432428516518454
clear,5.739302828968946
says,5.733164044900679
whole,5.732947276194917
ago,5.731469144727212
dropped,5.730344015784746
ca,5.729727451447233
morning,5.727666541938005
line,5.72500368365875
coming,5.723429759480132
forward,5.717707133455523
child,5.716163466326627
lost,5.713944729797954
dark,5.713701507008261
play,5.713240260663561
also,5.7127267269409785
nearly,5.7107187358415805
broken,5.708637784910214
low,5.704409014445887
answer,5.703636386067355
mouth,5.699579124381152
rose,5.698458348777567
felt,5.6958329360564
bring,5.689714409891459
stand,5.688181362813481
known,5.686653264779004
saying,5.683414127402111
mother,5.681569053201696
twenty,5.680603687781999
others,5.67978766695155
believe,5.6784934781354774
returned,5.6759361529524925
laid,5.6739984579055065
goes,5.673967885439105
followed,5.672812699593875
cold,5.670588690501868
myself,5.668190729604614
lie,5.666881272526835
outside,5.664234459830826
met,5.663714503928833
deep,5.663028408309179
live,5.661757511285978
answered,5.661231862210595
door,5.660951785154494
part,5.660643175562082
trouble,5.657357000606653
hot,5.655368359700769
broke,5.65456072548706
land,5.654075788266302
soon,5.653925802273875
feel,5.651518070604404
friend,5.650525332634441
business,5.650289981870861
whose,5.650048947472275
certain,5.649374478107467
kind,5.649110004284307
love,5.64832008502909
sake,5.647693693945465
caught,5.647629878574521
means,5.647629616979043
thousand,5.644279681033823
minute,5.64292283354873
kept,5.636120939157513
fear,5.635831473622948
blue,5.631481339612072
sun,5.631409690854922
arms,5.629488163553247
death,5.628731284952637
room,5.625444569246194
below,5.624989837659867
fair,5.624760278287379
past,5.624345510155215
heavy,5.6206535926140475
die,5.6195359592056375
indeed,5.619226365791122
perhaps,5.618621423329246
strong,5.617890339422948
second,5.617795314899451
country,5.6174663962398546
cried,5.617154746552142
women,5.614049557802139
shoulder,5.613789093672252
sit,5.613491890983999
themselves,5.6134299435081605
fall,5.612839475338005
died,5.6121721079022775
air,5.6114662059185525
please,5.609616647895081
break,5.608407590163925
friends,5.607332625447021
seemed,5.594529396616668
fire,5.593681280381136
miles,5.590458571501843
english,5.587408569832807
soul,5.585215083121497
wanted,5.5837451819928345
return,5.583445864431157
makes,5.582205877613247
sea,5.58122446524797
drew,5.57975096100444
rather,5.577308938630684
mine,5.573945444520478
within,5.573527437225517
money,5.564764573430517
evening,5.564435979022104
neither,5.5628534876464855
children,5.562638608169729
